Date;Time of day;Physical net export[MWh];Netherlands (export)[MWh];Netherlands (import)[MWh];Switzerland (export)[MWh];Switzerland (import)[MWh];Denmark (export)[MWh];Denmark (import)[MWh];Czech Republic (export)[MWh];Czech Republic (import)[MWh];Luxembourg (export)[MWh];Luxembourg (import)[MWh];Sweden (export)[MWh];Sweden (import)[MWh];Austria (export)[MWh];Austria (import)[MWh];France (export)[MWh];France (import)[MWh];Poland (export)[MWh];Poland (import)[MWh]
Jan 1, 2017;12:00 AM;-;2,331;-0;2,387;-0;636;-585;588;-1,501;-;-;1;0;1,434;-0;2,238;-0;709;-61
Jan 1, 2017;1:00 AM;-;2,347;-0;2,506;-0;665;-585;670;-1,468;-;-;1;0;1,698;-0;2,144;-0;707;-65
Jan 1, 2017;2:00 AM;-;2,001;-0;2,937;-0;694;-585;722;-1,488;-;-;1;0;1,968;-0;1,988;-0;715;-70
Jan 1, 2017;3:00 AM;-;1,763;-0;3,214;-0;686;-585;853;-1,374;-;-;1;0;2,520;-0;1,358;-0;899;-73
Jan 1, 2017;4:00 AM;-;1,679;-0;3,417;-0;772;-575;760;-1,373;-;-;1;0;2,449;-0;1,127;-0;844;-81
Jan 1, 2017;5:00 AM;-;1,840;-0;3,309;-0;770;-244;748;-1,352;-;-;73;0;2,464;-0;1,087;-0;842;-89
Jan 1, 2017;6:00 AM;-;2,137;-0;3,112;-0;747;-4;849;-1,292;-;-;75;0;2,565;-0;1,076;-0;786;-0
Jan 1, 2017;7:00 AM;-;2,191;-0;3,204;-0;1,249;-0;831;-1,260;-;-;75;0;2,734;-0;994;-0;897;-71
Jan 1, 2017;8:00 AM;-;2,165;-0;3,540;-0;1,374;-5;737;-1,327;-;-;75;0;2,643;-0;941;-0;669;-0
Jan 1, 2017;9:00 AM;-;1,700;-0;3,688;-0;1,298;-394;870;-1,246;-;-;2;0;2,883;-0;1,214;-0;906;-85
Jan 1, 2017;10:00 AM;-;1,570;-0;3,573;-0;1,364;-581;717;-1,245;-;-;2;0;2,833;-0;1,481;-0;791;-70
Jan 1, 2017;11:00 AM;-;1,782;-0;3,104;-0;1,352;-585;589;-1,276;-;-;2;0;2,793;-0;1,713;-0;779;-62
Jan 1, 2017;12:00 PM;-;2,045;-0;2,873;-0;909;-585;498;-1,288;-;-;3;0;2,553;-0;1,965;-0;780;-76
Jan 1, 2017;1:00 PM;-;2,152;-0;2,740;-0;360;-585;484;-1,244;-;-;3;0;2,461;-0;1,857;-0;840;-87
Jan 1, 2017;2:00 PM;-;2,250;-0;2,671;-0;56;-646;460;-1,130;-;-;3;0;2,203;-0;1,532;-0;802;-78
Jan 1, 2017;3:00 PM;-;1,832;-0;2,680;-0;48;-642;411;-1,103;-;-;0;-87;1,643;-0;1,381;-0;710;-67
Jan 1, 2017;4:00 PM;-;1,446;-0;2,521;-0;41;-637;232;-1,330;-;-;0;-284;420;-0;931;-0;515;-66
Jan 1, 2017;5:00 PM;-;1,445;-0;2,776;-0;48;-642;320;-1,359;-;-;0;-423;521;-0;1,168;-0;496;-58
Jan 1, 2017;6:00 PM;-;1,736;-0;2,373;-0;44;-639;157;-1,425;-;-;0;-481;30;-2;1,803;-0;419;-42
Jan 1, 2017;7:00 PM;-;1,988;-0;2,124;-0;59;-638;175;-1,404;-;-;0;-533;152;-0;2,222;-0;440;-40
Jan 1, 2017;8:00 PM;-;1,868;-0;2,477;-0;58;-655;338;-1,394;-;-;0;-533;942;-0;2,090;-0;554;-51
Jan 1, 2017;9:00 PM;-;1,815;-0;2,595;-0;51;-651;502;-1,365;-;-;0;-478;1,254;-0;1,871;-0;655;-63
Jan 1, 2017;10:00 PM;-;1,864;-0;2,465;-0;46;-638;478;-1,484;-;-;0;-405;1,110;-0;1,995;-0;622;-63
