Date;Time of day;Physical net export[MWh];Netherlands (export)[MWh];Netherlands (import)[MWh];Switzerland (export)[MWh];Switzerland (import)[MWh];Denmark (export)[MWh];Denmark (import)[MWh];Czech Republic (export)[MWh];Czech Republic (import)[MWh];Luxembourg (export)[MWh];Luxembourg (import)[MWh];Sweden (export)[MWh];Sweden (import)[MWh];Austria (export)[MWh];Austria (import)[MWh];France (export)[MWh];France (import)[MWh];Poland (export)[MWh];Poland (import)[MWh]
Jan 1, 2015;12:00 AM;-;2,205;-0;-;-;-;-;1,034;-672;-;-;-;-;2,731;-0;0;-167;-;-
Jan 1, 2015;1:00 AM;-;2,077;-0;-;-;-;-;890;-774;-;-;-;-;2,941;-0;0;-145;-;-
Jan 1, 2015;2:00 AM;-;1,918;-0;-;-;-;-;896;-760;-;-;-;-;3,054;-0;0;-17;-;-
Jan 1, 2015;3:00 AM;-;1,733;-0;-;-;-;-;866;-694;-;-;-;-;3,181;-0;0;-63;-;-
Jan 1, 2015;4:00 AM;-;1,732;-0;-;-;-;-;1,036;-591;-;-;-;-;3,262;-0;0;-117;-;-
Jan 1, 2015;5:00 AM;-;1,619;-0;-;-;-;-;1,034;-614;-;-;-;-;3,293;-0;0;-263;-;-
Jan 1, 2015;6:00 AM;-;1,749;-0;-;-;-;-;934;-626;-;-;-;-;2,985;-0;0;-104;-;-
Jan 1, 2015;7:00 AM;-;1,734;-0;-;-;-;-;844;-657;-;-;-;-;2,914;-0;3;-0;-;-
Jan 1, 2015;8:00 AM;-;1,913;-0;-;-;-;-;1,004;-644;-;-;-;-;2,901;-0;0;-310;-;-
Jan 1, 2015;9:00 AM;-;1,909;-0;-;-;-;-;981;-689;-;-;-;-;2,690;-0;0;-419;-;-
Jan 1, 2015;10:00 AM;-;2,103;-0;-;-;-;-;1,148;-665;-;-;-;-;2,762;-0;0;-417;-;-
Jan 1, 2015;11:00 AM;-;2,269;-0;-;-;-;-;1,134;-652;-;-;-;-;2,662;-0;0;-199;-;-
Jan 1, 2015;12:00 PM;-;2,353;-0;-;-;-;-;1,248;-659;-;-;-;-;2,597;-0;0;-173;-;-
Jan 1, 2015;1:00 PM;-;2,305;-0;-;-;-;-;1,314;-634;-;-;-;-;2,745;-0;0;-364;-;-
Jan 1, 2015;2:00 PM;-;2,312;-0;-;-;-;-;1,370;-578;-;-;-;-;2,876;-0;0;-618;-;-
Jan 1, 2015;3:00 PM;-;2,058;-0;-;-;-;-;1,460;-539;-;-;-;-;3,120;-0;0;-726;-;-
Jan 1, 2015;4:00 PM;-;2,257;-0;-;-;-;-;1,437;-557;-;-;-;-;2,478;-0;0;-774;-;-
Jan 1, 2015;5:00 PM;-;2,210;-0;-;-;-;-;1,279;-629;-;-;-;-;2,190;-0;0;-1,016;-;-
Jan 1, 2015;6:00 PM;-;1,871;-0;-;-;-;-;1,115;-658;-;-;-;-;1,855;-0;0;-969;-;-
Jan 1, 2015;7:00 PM;-;1,670;-0;-;-;-;-;1,162;-672;-;-;-;-;2,504;-0;0;-897;-;-
Jan 1, 2015;8:00 PM;-;1,387;-0;-;-;-;-;1,677;-612;-;-;-;-;3,027;-0;0;-1,044;-;-
Jan 1, 2015;9:00 PM;-;1,045;-0;-;-;-;-;1,629;-613;-;-;-;-;3,419;-0;0;-1,378;-;-
Jan 1, 2015;10:00 PM;-;1,154;-0;-;-;-;-;1,630;-630;-;-;-;-;3,364;-0;0;-1,235;-;-
Jan 1, 2015;11:00 PM;-;1,222;-0;-;-;-;-;1,731;-651;-;-;-;-;3,496;-0;0;-1,026;-;-
Jan 2, 2015;12:00 AM;-;1,118;-0;-;-;-;-;1,261;-806;-;-;-;-;3,218;-0;0;-1,229;-;-
Jan 2, 2015;1:00 AM;-;1,191;-0;-;-;-;-;1,380;-799;-;-;-;-;3,136;-0;0;-1,188;-;-
Jan 2, 2015;2:00 AM;-;1,051;-0;-;-;-;-;1,429;-646;-;-;-;-;3,246;-0;0;-1,330;-;-
Jan 2, 2015;3:00 AM;-;1,128;-0;-;-;-;-;1,430;-633;-;-;-;-;3,195;-0;0;-1,577;-;-
Jan 2, 2015;4:00 AM;-;1,414;-0;-;-;-;-;1,324;-679;-;-;-;-;3,181;-0;0;-1,812;-;-
Jan 2, 2015;5:00 AM;-;1,460;-0;-;-;-;-;1,465;-710;-;-;-;-;3,252;-0;0;-1,849;-;-
Jan 2, 2015;6:00 AM;-;1,269;-0;-;-;-;-;1,510;-663;-;-;-;-;3,327;-0;0;-1,818;-;-
Jan 2, 2015;7:00 AM;-;1,277;-0;-;-;-;-;1,340;-673;-;-;-;-;3,274;-0;0;-1,408;-;-
