,ypred_gpr,ypred_gpr_hiwind,ypred_gpr_lowwind,ypred_xgb_lowwind,ypred_xgb,ypred_xgb_hiwind
2019-01-01 00:00:00,0.5964696031919998,0.5846398109980134,0.6082772711525949,0.4693237245082855,0.46472877264022827,0.4693237245082855
2019-01-01 01:00:00,0.49457065484862295,0.4822997851379238,0.5068588769386012,-0.254386305809021,-0.254386305809021,-0.254386305809021
2019-01-01 02:00:00,0.4260363234172517,0.41209863692981374,0.4400551922654219,-0.06340384483337402,-0.15987741947174072,-0.06340384483337402
2019-01-01 03:00:00,0.385525063522889,0.37258152346838536,0.39898046002245346,-0.09097832441329956,-0.09097832441329956,-0.09097832441329956
2019-01-01 04:00:00,0.3711870913830051,0.3608213679238039,0.38222709923727993,-0.09097832441329956,-0.09097832441329956,-0.09097832441329956
2019-01-01 05:00:00,0.3982790243835813,0.3921605076295196,0.40543328544508095,-0.22594338655471802,-0.1954401731491089,-0.22594338655471802
2019-01-01 06:00:00,0.31206863976548593,0.32064223272902836,0.3061614995567119,-0.8404934406280518,-0.8099902868270874,-0.8404934406280518
2019-01-01 07:00:00,0.3226764568007793,0.3539586477663963,0.29641844651697136,-0.20387309789657593,-0.1711559295654297,-0.20387309789657593
2019-01-01 08:00:00,0.3395500754026982,0.3683941309502503,0.31512006622402966,-0.05978041887283325,-0.05756646394729614,-0.05978041887283325
2019-01-01 09:00:00,0.37589767812396824,0.3993831473673555,0.35681221488617865,0.4183363914489746,0.4205503463745117,0.4183363914489746
2019-01-01 10:00:00,0.40894886588897517,0.43043140981723327,0.39168502333784905,0.40710321068763733,0.4093242883682251,0.40710321068763733
2019-01-01 11:00:00,0.44707524732708703,0.4661758473273403,0.43226871300195724,0.47910603880882263,0.45590564608573914,0.47910603880882263
2019-01-01 12:00:00,0.46119240178515497,0.4786253054052563,0.44707262524521874,-0.0652245283126831,-0.08598369359970093,-0.0652245283126831
2019-01-01 13:00:00,0.46173646852704164,0.48309478267305017,0.44339540365569596,-0.05781817436218262,-0.3812248110771179,-0.05781817436218262
2019-01-01 14:00:00,0.4860001844948252,0.5115770304479715,0.46289050442040813,-0.050636231899261475,-0.42195141315460205,-0.050636231899261475
2019-01-01 15:00:00,0.5194446473690182,0.5437305837074655,0.4974711163426283,-0.026231110095977783,-0.2605997323989868,-0.026231110095977783
2019-01-01 16:00:00,0.5712390807959646,0.5937588600783181,0.5514659851057653,-0.00586313009262085,0.03802177309989929,-0.00586313009262085
2019-01-01 17:00:00,0.6285662455793017,0.6445003023633702,0.614645384458403,0.23814436793327332,0.2006036341190338,0.23814436793327332
2019-01-01 18:00:00,0.6379882106617822,0.6534185165194021,0.6256423474008577,0.06192964315414429,0.04013872146606445,0.06192964315414429
2019-01-01 19:00:00,0.6245228089201874,0.6365060998800836,0.6153320431202018,0.04733714461326599,0.21616682410240173,0.04733714461326599
2019-01-01 20:00:00,0.5863103214936365,0.5993154787520228,0.5758549147434855,0.14523100852966309,-0.040701448917388916,0.14523100852966309
2019-01-01 21:00:00,0.5581931029496581,0.5581852176111286,0.5590672282091612,-0.43039125204086304,-0.3813471794128418,-0.43039125204086304
2019-01-01 22:00:00,0.5623664338695376,0.5501736969432707,0.5750956942835257,-0.05881643295288086,-0.5669481754302979,-0.05881643295288086
2019-01-01 23:00:00,0.45310683874742075,0.4331824105226558,0.47348152596415083,-0.04519587755203247,-0.06742405891418457,-0.04519587755203247
2019-01-02 00:00:00,0.46576321044107616,0.4485334160818901,0.4837285082601557,-0.2841262221336365,-0.48078978061676025,-0.2841262221336365
2019-01-02 01:00:00,0.3887325346256181,0.3722631815314754,0.4058854815240901,-2.1107921600341797,-2.11090350151062,-2.1107921600341797
2019-01-02 02:00:00,0.33582093302341265,0.3179894994389101,0.35445237168177735,-1.903534173965454,-1.9025201797485352,-1.903534173965454
2019-01-02 03:00:00,0.3306263128339326,0.3163394157096818,0.34609400363446197,-0.2841262221336365,-0.2833225727081299,-0.2841262221336365
2019-01-02 04:00:00,0.3354477482456897,0.3247077354294161,0.3473352330497148,-0.28380846977233887,-0.2818790674209595,-0.28380846977233887
2019-01-02 05:00:00,0.3992132856496099,0.39415391285524215,0.40563154896320897,-0.1954401731491089,-0.16451257467269897,-0.1954401731491089
2019-01-02 06:00:00,0.43628735489367854,0.45073256985335464,0.42443390059870956,-0.02171379327774048,-0.045460283756256104,-0.02171379327774048
2019-01-02 07:00:00,0.563816492808776,0.6025290118710078,0.5297696324819842,0.5296046733856201,0.04433920979499817,0.5296046733856201
2019-01-02 08:00:00,0.6314388496277552,0.6610913226709547,0.6056661091742434,0.5485090017318726,0.5371007323265076,0.5485090017318726
2019-01-02 09:00:00,0.6675303247785475,0.6906059300043323,0.6484145984355837,0.6185190081596375,0.5415985584259033,0.6185190081596375
2019-01-02 10:00:00,0.6781434564028396,0.6966690863356271,0.6632954105413792,0.5069385766983032,0.401527464389801,0.5069385766983032
2019-01-02 11:00:00,0.6881434933028326,0.701569417447233,0.678218825476463,0.5762216448783875,0.4818176329135895,0.5762216448783875
2019-01-02 12:00:00,0.6981179227943263,0.7101408432994881,0.6886911138423465,0.5511658191680908,0.4577691853046417,0.5511658191680908
2019-01-02 13:00:00,0.6959411590075474,0.7088091190336159,0.6853848562705818,0.4763660430908203,0.5346371531486511,0.4763660430908203
2019-01-02 14:00:00,0.7248583355864,0.7371833486790664,0.7144876060015396,0.6967876553535461,0.7481957674026489,0.6967876553535461
