Date;Time of day;Scheduled commercial net export[MWh];Netherlands (export)[MWh];Netherlands (import)[MWh];Switzerland (export)[MWh];Switzerland (import)[MWh];Denmark (export)[MWh];Denmark (import)[MWh];Czech Republic (export)[MWh];Czech Republic (import)[MWh];Luxembourg (export)[MWh];Luxembourg (import)[MWh];Sweden (export)[MWh];Sweden (import)[MWh];Austria (export)[MWh];Austria (import)[MWh];France (export)[MWh];France (import)[MWh];Poland (export)[MWh];Poland (import)[MWh]
Jan 1, 2017;12:00 AM;9,516;1,521;-2;1,200;-0;0;-585;37;-2,027;433;-6;2;-0;6,799;-1,125;4,079;-0;0;-810
Jan 1, 2017;1:00 AM;9,569;1,365;-2;1,200;-0;0;-585;37;-2,018;413;-6;2;-0;6,963;-1,216;4,235;-0;0;-819
Jan 1, 2017;2:00 AM;9,283;1,329;-2;1,200;-0;0;-585;37;-1,953;396;-6;2;-0;6,726;-1,248;4,271;-0;0;-884
Jan 1, 2017;3:00 AM;9,379;1,203;-2;1,200;-0;0;-585;67;-1,892;386;-5;2;-0;6,681;-1,172;4,396;-0;0;-900
Jan 1, 2017;4:00 AM;8,897;1,191;-2;1,200;-0;0;-585;161;-1,931;382;-6;2;-0;6,626;-1,590;4,410;-0;0;-961
Jan 1, 2017;5:00 AM;9,781;1,315;-2;1,200;-0;330;-387;77;-2,002;386;-7;77;-0;6,663;-1,278;4,284;-0;0;-875
Jan 1, 2017;6:00 AM;10,868;1,413;-2;1,200;-0;827;-238;286;-1,905;336;-8;77;-0;6,800;-1,231;4,188;-0;0;-875
Jan 1, 2017;7:00 AM;11,644;1,567;-2;1,200;-0;1,323;-50;286;-2,055;343;-9;77;-0;6,794;-988;4,033;-0;0;-875
Jan 1, 2017;8:00 AM;11,469;1,713;-2;1,200;-0;1,717;-318;286;-2,146;358;-9;77;-0;6,592;-946;3,887;-0;0;-940
Jan 1, 2017;9:00 AM;11,389;1,255;-2;1,200;-0;1,886;-1,015;286;-2,273;373;-9;2;-0;7,221;-1,218;4,344;-0;0;-661
Jan 1, 2017;10:00 AM;11,403;1,253;-2;1,200;-0;2,026;-1,235;303;-2,163;392;-9;1;-0;7,385;-1,236;4,348;-0;0;-860
Jan 1, 2017;11:00 AM;10,938;1,311;-2;1,200;-0;2,100;-1,335;37;-2,105;407;-8;2;-0;7,279;-1,505;4,289;-0;0;-732
Jan 1, 2017;12:00 PM;10,511;1,433;-2;1,200;-0;2,100;-1,771;222;-2,070;415;-7;0;-0;7,001;-1,488;4,265;-0;0;-787
Jan 1, 2017;1:00 PM;10,174;1,527;-2;1,200;-0;1,509;-1,729;322;-1,984;400;-6;0;-0;7,034;-1,307;4,074;-0;0;-864
Jan 1, 2017;2:00 PM;9,637;1,723;-2;1,200;-0;0;-585;542;-2,377;379;-6;0;-0;6,874;-1,505;3,878;-0;10;-494
Jan 1, 2017;3:00 PM;8,062;1,833;-266;1,200;-14;0;-585;486;-1,810;376;-6;0;-91;5,373;-1,417;3,879;-0;49;-945
