Date;Time of day;Scheduled commercial net export[MWh];Netherlands (export)[MWh];Netherlands (import)[MWh];Switzerland (export)[MWh];Switzerland (import)[MWh];Denmark (export)[MWh];Denmark (import)[MWh];Czech Republic (export)[MWh];Czech Republic (import)[MWh];Luxembourg (export)[MWh];Luxembourg (import)[MWh];Sweden (export)[MWh];Sweden (import)[MWh];Austria (export)[MWh];Austria (import)[MWh];France (export)[MWh];France (import)[MWh];Poland (export)[MWh];Poland (import)[MWh]
Jan 1, 2015;12:00 AM;9,906;2,371;0;810;-10;1,024;0;404;-1,455;381;-3;179;0;6,323;-1,118;1,200;0;0;-200
Jan 1, 2015;1:00 AM;10,138;2,401;0;810;-10;1,270;0;199;-1,527;367;-3;154;0;6,578;-1,161;1,200;0;0;-140
Jan 1, 2015;2:00 AM;10,350;2,301;0;810;-10;1,274;0;245;-1,745;349;-3;154;0;6,681;-906;1,200;0;0;0
Jan 1, 2015;3:00 AM;10,439;2,301;0;810;-10;1,383;-25;275;-1,597;338;-3;154;0;6,576;-963;1,200;0;0;0
Jan 1, 2015;4:00 AM;10,705;2,301;0;810;-10;1,326;-7;916;-1,619;329;-3;128;0;6,405;-1,071;1,200;0;0;0
Jan 1, 2015;5:00 AM;10,088;2,301;0;810;-10;806;0;747;-1,403;323;-3;128;0;6,314;-1,125;1,200;0;0;0
Jan 1, 2015;6:00 AM;10,321;2,401;0;810;-10;1,352;0;803;-1,458;289;-3;128;0;6,020;-1,211;1,200;0;0;0
Jan 1, 2015;7:00 AM;10,239;2,401;0;810;-10;1,469;0;662;-1,525;284;-3;128;0;6,120;-1,297;1,200;0;0;0
Jan 1, 2015;8:00 AM;10,309;2,401;0;810;-10;1,411;0;918;-1,725;286;-3;128;0;6,259;-1,366;1,200;0;0;0
Jan 1, 2015;9:00 AM;10,112;2,401;0;810;-10;1,430;0;522;-1,534;291;-3;102;0;6,216;-1,313;1,200;0;0;0
Jan 1, 2015;10:00 AM;10,411;2,401;0;810;-10;1,189;0;543;-1,485;302;-3;102;0;6,408;-1,046;1,200;0;0;0
Jan 1, 2015;11:00 AM;10,396;2,401;0;810;-10;1,208;-100;513;-1,465;328;-3;77;0;6,404;-967;1,200;0;0;0
Jan 1, 2015;12:00 PM;10,673;2,401;0;810;-10;1,234;-75;776;-1,539;333;-3;77;0;6,379;-910;1,200;0;0;0
Jan 1, 2015;1:00 PM;11,104;2,401;0;810;-10;1,324;-50;988;-1,498;318;-3;77;0;6,547;-1,000;1,200;0;0;0
Jan 1, 2015;2:00 PM;11,387;2,401;0;810;-10;1,330;-85;852;-1,181;310;-3;77;0;6,736;-1,050;1,200;0;0;0
Jan 1, 2015;3:00 PM;11,752;2,201;0;810;-10;1,348;0;868;-1,013;306;-3;77;0;7,178;-1,210;1,200;0;0;0
Jan 1, 2015;4:00 PM;10,597;2,201;0;810;-10;1,191;0;567;-1,005;310;-3;77;0;6,579;-1,320;1,200;0;0;0
Jan 1, 2015;5:00 PM;9,621;2,201;0;810;-10;1,134;0;528;-1,371;352;-3;77;0;5,548;-845;1,200;0;0;0
Jan 1, 2015;6:00 PM;8,497;1,601;0;810;-10;1,079;0;353;-1,596;370;-3;77;0;5,432;-816;1,200;0;0;0
Jan 1, 2015;7:00 PM;9,117;1,601;0;810;-10;887;0;333;-1,540;352;-3;77;0;6,088;-678;1,200;0;0;0
Jan 1, 2015;8:00 PM;10,161;1,601;0;810;-10;650;0;913;-1,286;329;-3;77;0;6,845;-965;1,200;0;0;0
Jan 1, 2015;9:00 PM;9,996;1,251;0;810;-10;596;0;747;-1,184;319;-3;77;0;7,079;-886;1,200;0;0;0
Jan 1, 2015;10:00 PM;9,967;1,251;0;810;-10;345;0;781;-1,485;379;-3;77;0;7,605;-983;1,200;0;0;0
Jan 1, 2015;11:00 PM;10,317;1,251;0;810;-11;282;0;890;-1,341;369;-3;77;0;7,680;-887;1,200;0;0;0
Jan 2, 2015;12:00 AM;8,832;1,150;0;810;-10;633;-26;300;-1,712;360;-3;77;0;6,641;-588;1,200;0;0;0
Jan 2, 2015;1:00 AM;9,283;1,150;0;810;-10;1,022;-150;442;-1,624;345;-3;77;0;6,671;-647;1,200;0;0;0
Jan 2, 2015;2:00 AM;9,947;1,150;0;810;-10;966;0;600;-1,389;329;-3;77;0;6,798;-581;1,200;0;0;0
Jan 2, 2015;3:00 AM;10,327;1,150;0;810;-10;1,378;0;686;-1,345;327;-3;77;0;6,756;-699;1,200;0;0;0
Jan 2, 2015;4:00 AM;9,987;1,150;0;810;-10;1,550;-50;694;-1,590;329;-3;77;0;6,873;-1,043;1,200;0;0;0
Jan 2, 2015;5:00 AM;10,019;1,150;0;810;-10;1,309;-168;641;-1,583;347;-3;77;0;7,347;-1,098;1,200;0;0;0
Jan 2, 2015;6:00 AM;10,057;1,154;0;810;-10;1,058;0;651;-1,808;335;-3;77;0;7,407;-814;1,200;0;0;0
Jan 2, 2015;7:00 AM;10,652;1,150;0;810;-10;1,216;0;562;-2,086;377;-3;77;0;8,120;-761;1,200;0;0;0
Jan 2, 2015;8:00 AM;11,161;1,150;0;810;-10;1,402;0;771;-2,050;386;-3;77;0;7,876;-448;1,200;0;0;0
Jan 2, 2015;9:00 AM;11,390;1,154;0;810;-10;1,328;0;614;-1,963;428;-3;77;0;8,053;-298;1,200;0;0;0
Jan 2, 2015;10:00 AM;11,507;1,154;0;810;-10;1,392;0;619;-1,880;442;-3;77;0;8,027;-321;1,200;0;0;0
Jan 2, 2015;11:00 AM;11,370;1,150;0;810;-10;1,344;0;731;-2,012;467;-3;77;0;7,990;-374;1,200;0;0;0
Jan 2, 2015;12:00 PM;11,190;1,154;0;810;-10;1,173;0;916;-2,025;454;-3;77;0;7,857;-413;1,200;0;0;0
Jan 2, 2015;1:00 PM;11,138;1,154;0;810;-10;1,094;0;966;-1,950;442;-3;77;0;7,807;-449;1,200;0;0;0
Jan 2, 2015;2:00 PM;10,874;1,154;0;810;-10;940;0;824;-1,834;430;-3;77;0;7,706;-420;1,200;0;0;0
Jan 2, 2015;3:00 PM;10,819;1,154;0;810;-10;865;0;831;-1,801;425;-3;77;0;7,609;-338;1,200;0;0;0
Jan 2, 2015;4:00 PM;10,891;1,154;0;810;-10;845;0;845;-1,720;435;-3;77;0;7,613;-355;1,200;0;0;0
Jan 2, 2015;5:00 PM;9,648;1,150;0;810;-10;831;0;1,070;-2,034;473;-3;77;0;6,694;-610;1,200;0;0;0
Jan 2, 2015;6:00 PM;9,715;1,150;0;810;-10;730;0;789;-1,435;486;-3;77;0;6,441;-520;1,200;0;0;0
Jan 2, 2015;7:00 PM;9,870;1,150;0;810;-10;628;0;860;-1,625;458;-3;77;0;6,637;-312;1,200;0;0;0
Jan 2, 2015;8:00 PM;10,260;1,154;0;810;-10;853;0;917;-1,464;415;-3;77;0;6,932;-621;1,200;0;0;0
Jan 2, 2015;9:00 PM;9,293;1,154;0;810;-10;633;0;766;-1,456;380;-3;77;0;6,490;-748;1,200;0;0;0
Jan 2, 2015;10:00 PM;8,574;1,150;0;810;-10;138;0;636;-1,735;425;-3;77;0;6,664;-778;1,200;0;0;0
